Time Elapsed (s),Voltage
1.826,0.168425
1.826,0.167619
1.826,0.170037
1.835,0.166813
1.835,0.167619
1.835,0.165201
1.835,0
1.835,0
1.835,0
1.835,0
1.84,0
1.84,0
1.84,0
1.84,0
1.84,0
1.84,0
1.84,0
1.843,0
1.843,0
1.843,0
1.843,0.002418
1.843,0.011282
1.843,0.0137
1.843,0.021758
1.851,0.026593
1.851,0.012894
1.851,0.000806
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.851,0
1.859,0
1.859,0
1.859,0
1.859,0
1.859,0
1.859,0
1.859,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.868,0
1.877,0
1.877,0
1.877,0
1.877,0
1.877,0
1.877,0
1.877,0
1.885,0
1.885,0
1.885,0
1.885,0
1.885,0
1.885,0
1.885,0
1.89,0
1.89,0
1.89,0
1.89,0
1.89,0
1.89,0.240147
1.89,0.244982
1.893,0.245788
1.893,0.247399
1.893,0.250623
1.893,0.252234
1.893,0.253846
1.893,0.255458
1.893,0.252234
1.901,0.25304
1.901,0.249817
1.901,0.245788
1.901,0.242564
1.901,0.236923
1.901,0.232894
1.901,0.226447
1.901,0.219194
1.905,0.215165
1.905,0.209524
1.907,0.03304
1.907,0.047546
1.907,0.062051
1.907,0.075751
1.907,0.095092
1.91,0.116044
1.91,0.134579
1.91,0.154725
1.91,0.176484
1.91,0.199048
1.91,0.221612
1.91,0.244982
1.918,0.269157
1.918,0.295751
1.918,0.316703
1.918,0.340073
1.918,0.366667
1.918,0.394066
1.918,0.462564
1.923,0.423883
1.923,0.374725
1.923,0.336044
1.923,0.294945
1.923,0.247399
1.923,0.2063
1.923,0.16359
1.927,0.118462
1.929,0.071722
1.929,0.027399
1.929,0
1.929,0
1.929,0
1.929,0
1.932,0
1.932,0
1.932,0
1.932,0.344908
1.935,0.375531
1.935,0.40696
1.935,0.441612
1.938,0.475458
1.938,0.504469
1.938,0.532674
1.938,0.565714
1.938,0.594725
1.938,0.624542
1.938,0.655165
1.944,0.682564
1.944,0.710769
1.944,0.73978
1.944,0.76315
1.944,0.78652
1.944,0.80989
1.944,0.834066
1.944,0.849377
1.944,0.219194
1.952,0.201465
1.952,0.18293
1.952,0.167619
1.952,0.153114
1.952,0.139414
1.952,0.120073
1.954,0.107179
1.954,0.097509
1.954,0.085421
1.954,0.075751
1.954,0.072527
1.954,0.068498
1.954,0.068498
1.96,0.068498
1.96,0.073333
1.96,0.077363
1.96,0.081392
1.96,0.994432
1.96,1.003297
1.96,1.012967
1.968,1.017802
1.968,1.018608
1.968,1.019414
1.968,1.018608
1.968,1.018608
