Time (s),Frequency (Hz),Intensity (dB)
0.06918918918918919,845.5078125,-313.0712
0.06918918918918919,852.734375,-313.0712
0.06918918918918919,859.9609375,-313.0712
0.06918918918918919,867.1875,-313.0712
0.06918918918918919,874.4140625,-313.0712
0.06918918918918919,881.640625,-313.0712
0.06918918918918919,888.8671875,-313.0712
0.06918918918918919,896.09375,-313.0712
0.06918918918918919,903.3203125,-313.0712
0.06918918918918919,910.546875,-313.0712
0.06918918918918919,917.7734375,-313.0712
0.06918918918918919,925.0,-313.0712
0.06918918918918919,932.2265625,-313.0712
0.06918918918918919,939.453125,-313.0712
0.06918918918918919,946.6796875,-313.0712
0.06918918918918919,953.90625,-313.0712
0.06918918918918919,961.1328125,-313.0712
0.06918918918918919,968.359375,-313.0712
0.06918918918918919,975.5859375,-313.0712
0.06918918918918919,982.8125,-313.0712
0.06918918918918919,990.0390625,-313.0712
0.06918918918918919,997.265625,-313.0712
0.06918918918918919,1004.4921875,-313.0712
0.06918918918918919,1011.71875,-313.0712
0.06918918918918919,1018.9453125,-313.0712
0.06918918918918919,1026.171875,-313.0712
0.06918918918918919,1033.3984375,-313.0712
0.06918918918918919,1040.625,-313.0712
0.06918918918918919,1047.8515625,-313.0712
0.06918918918918919,1055.078125,-313.0712
0.06918918918918919,1062.3046875,-313.0712
0.06918918918918919,1069.53125,-313.0712
0.06918918918918919,1076.7578125,-313.0712
0.06918918918918919,1083.984375,-313.0712
0.06918918918918919,1091.2109375,-313.0712
0.06918918918918919,1098.4375,-313.0712
0.06918918918918919,1105.6640625,-313.0712
0.06918918918918919,1112.890625,-313.0712
0.06918918918918919,1120.1171875,-313.0712
0.06918918918918919,1127.34375,-313.0712
0.06918918918918919,1134.5703125,-313.0712
0.06918918918918919,1141.796875,-313.0712
0.06918918918918919,1149.0234375,-313.0712
0.06918918918918919,1156.25,-313.0712
0.06918918918918919,1163.4765625,-313.0712
0.06918918918918919,1170.703125,-313.0712
0.06918918918918919,1177.9296875,-313.0712
0.06918918918918919,1185.15625,-313.0712
0.06918918918918919,1192.3828125,-313.0712
0.06918918918918919,1199.609375,-313.0712
0.06918918918918919,1206.8359375,-313.0712
0.06918918918918919,1214.0625,-313.0712
0.06918918918918919,1221.2890625,-313.0712
0.06918918918918919,1228.515625,-313.0712
0.06918918918918919,1235.7421875,-313.0712
0.06918918918918919,1242.96875,-313.0712
0.06918918918918919,1250.1953125,-313.0712
0.06918918918918919,1257.421875,-313.0712
